year,state,black_prop_vap,black,total_vap
2000,CA,0.05833453159824574,714010,12239920
2000,CO,0.030404178304379956,48550,1596820
2000,CT,0.07547022372256214,96580,1279710
2000,DE,0.15871390538603317,46500,292980
2000,FL,0.12617091764675148,772730,6124470
2000,GA,0.26341784213987574,785080,2980360
2000,HI,0.015874052782858635,7290.000000000001,459239.99999999994
2000,ID,0.002915959437698568,1340,459539.99999999994
2000,IL,0.11306136155623986,515120,4556110
2000,IN,0.06398517161983162,143950,2249740
2000,IA,0.012000510660028087,13160,1096620
2000,KS,0.04086107032142274,40070,980640
2000,KY,0.06238505500880009,94640,1517030
2000,LA,0.29266765448018894,472070,1612990
2000,ME,0.003612466069351185,1770,489970
2000,MD,0.24057721848645458,472970,1965980
2000,MA,0.04503990406483894,108920,2418300
2000,MI,0.10074547564943026,369750,3670140
2000,MN,0.017804267779683795,32589.999999999996,1830459.9999999998
2000,MS,0.3550036025159192,364610,1027060
2000,MO,0.08037015482437365,167100,2079130
2000,MT,0.0019229631382758417,650,338020
2000,NE,0.0214001300823326,13490,630370
2000,NV,0.05882193855473821,43500,739520
2000,NH,0.005329018338727076,2470,463500
2000,NJ,0.11594621166471092,365590,3153100
2000,NM,0.015128938085391072,9950,657680
2000,NY,0.12122739667553153,863350,7121739.999999999
2000,NC,0.1992157018344377,602500,3024360
2000,ND,0.0033432392273402673,810,242280.00000000003
2000,OH,0.09277887551643614,392540,4230920
2000,OK,0.05328992859973118,68590,1287110
2000,OR,0.013345161114612756,17150,1285110
2000,PA,0.06452114063893316,303170,4698770
2000,RI,0.03377820066604903,13490,399370
2000,SC,0.2867734719301301,428170,1493060
2000,SD,0.00372594414701201,1030,276440
2000,TN,0.13392221514481623,285940,2135120
2000,TX,0.09984838726989749,744190,7453200
2000,UT,0.005984113444930163,4490,750320
2000,VT,0.003574350803152319,830.0000000000001,232210
2000,VA,0.17728106969364643,470410.00000000006,2653470
2000,WA,0.026058512873928696,57040,2188920
2000,WV,0.028182924210978316,19690,698650
2000,WI,0.028890854029058825,58479.99999999999,2024170
2000,WY,0.005326376433501821,980.0000000000001,183990
2001,AL,0.21602673840384773,265000,1226700
2001,AK,0.030403371462974112,20200,664400
2001,AZ,0.0215333477852446,29800,1383900
2001,AR,0.11715713492504164,84400,720400
2001,CA,0.048910879140771135,405300,8286500
2001,CO,0.024792729591836735,31100,1254400
2001,CT,0.0560878243512974,56200,1002000
2001,DE,0.1290617251729088,98900,766300
2001,FL,0.09988972209969123,452900,4534000
2001,GA,0.21316686630424767,462700,2170600
2001,HI,0.011820059674087675,10300,871400
2001,ID,0.002776154295733489,1900,684400
2001,IL,0.09592522272528115,328400,3423500
2001,IN,0.05744503200667966,103200,1796500
2001,IA,0.008915586468542522,14100,1581500
2001,KS,0.025188092901537455,30800,1222800
2001,KY,0.04385032422663974,82500,1881400
2001,LA,0.23198365527488857,374700,1615200
2001,ME,0.0028761731759006964,1900,660600
2001,MD,0.18367463350636015,322000,1753100
2001,MA,0.03521681997371879,67000,1902500
2001,MI,0.09233092800805505,275100,2979500
2001,MN,0.0211536018295007,33300,1574200
2001,MS,0.29608549927275024,468200,1581300
2001,MO,0.0710421925712225,118200,1663800
2001,MT,7.926023778071334e-4,600,757000
2001,NE,0.029567328535506806,34100,1153300
2001,NV,0.044532130777903044,31600,709600
2001,NH,0.006828137078072662,5300,776200
2001,NJ,0.0899389610928871,216600,2408300
2001,NM,0.01564362336114422,10500,671200
2001,NY,0.10878873353761237,536100,4927900
2001,NC,0.1540120406146105,342800,2225800
2001,ND,0.002934898612593383,2200,749600
2001,OH,0.07711760944131155,265300,3440200
2001,OK,0.04672897196261682,43000,920200
2001,OR,0.010021829728120659,10100,1007800
2001,PA,0.0616821926659846,229100,3714200
2001,RI,0.02671614100185529,21600,808500
2001,SC,0.21099062672302885,229600,1088200
2001,SD,0.005573321151210599,6100,1094500
2001,TN,0.11649254182015822,192900,1655900
2001,TX,0.08351018675721562,393500,4712000
2001,UT,0.0027961362480935434,2200,786800
2001,VT,0.0031282586027111575,2100,671300
2001,VA,0.15459258906911477,325000,2102300
2001,WA,0.02324918798791954,40800,1754900
2001,WV,0.01847876092623831,24100,1304200
2001,WI,0.030845193145512633,53100,1721500
2001,WY,0.007931665649786455,5200,655600
2002,AL,0.2152802570510532,241200,1120400
2002,AK,0.02371675419278333,14000,590300
2002,AZ,0.02061695861106805,26600,1290200
2002,AR,0.12021693281108768,79800,663800
2002,CA,0.04673911586959143,348800,7462700
2002,CO,0.02376836646499568,27500,1157000
2002,CT,0.05898536370639375,53600,908700
2002,DE,0.13182700304962572,95100,721400
2002,FL,0.09749933813088162,405100,4154900
2002,GA,0.21542525639697505,415900,1930600
2002,HI,0.010858711932101847,8700,801200
2002,ID,0.001705955334987593,1100,644800
2002,IL,0.09658005349636989,303300,3140400
2002,IN,0.05893642047916796,95200,1615300
2002,IA,0.008685746831838245,12200,1404600
2002,KS,0.02599873176918199,28700,1103900
2002,KY,0.04186616839892561,71700,1712600
2002,LA,0.23512305837293426,331500,1409900
2002,ME,0.0034465780403741997,2100,609300
2002,MD,0.1970052661633145,310500,1576100
2002,MA,0.03436284333372627,58300,1696600
2002,MI,0.09173599556295063,248100,2704500
2002,MN,0.022158333917677582,31600,1426100
2002,MS,0.29298730766503583,413200,1410300
2002,MO,0.0726379027853632,106400,1464800
2002,MT,0.0017806796260572786,1200,673900
2002,NE,0.017086527929901424,15600,913000
2002,NV,0.046899590808939254,29800,635400
2002,NH,0.008540822235089751,5900,690800
2002,NJ,0.08544683205754865,185300,2168600
2002,NM,0.013362652232746955,7900,591200
2002,NY,0.10993199141905154,481700,4381800
2002,NC,0.15286907527306876,309300,2023300
2002,ND,0.0037064492216456633,2500,674500
2002,OH,0.07474293895613693,229700,3073200
2002,OK,0.050672908133411354,43300,854500
2002,OR,0.011983289357959543,10900,909600
2002,PA,0.062448644207066556,212800,3407600
2002,RI,0.02924134213717828,21700,742100
2002,SC,0.21309699655342196,216400,1015500
2002,SD,0.004035919685198264,4000,991100
2002,TN,0.10885906040268456,162200,1490000
2002,TX,0.08061693538978464,345500,4285700
2002,UT,0.0063044936284372905,4700,745500
2002,VT,0.003730183400683867,2400,643400
2002,VA,0.15808414924583222,298700,1889500
2002,WA,0.022946479228393116,36400,1586300
2002,WV,0.01622681883024251,18200,1121600
2002,WI,0.030667920978363124,48900,1594500
2002,WY,0.006877353856230555,4200,610700
2003,AL,0.21457687917821622,263200,1226600
2003,AK,0.030148492575371232,20100,666700
2003,AZ,0.0222887789928258,32000,1435700
2003,AR,0.12149659863945578,89300,735000
2003,CA,0.046367815281157784,394400,8505900
2003,CO,0.02873015873015873,36200,1260000
2003,CT,0.06507290943358794,65600,1008100
2003,DE,0.13935467479674796,109700,787200
2003,FL,0.10035979647016244,471400,4697100
2003,GA,0.21553615401835685,481400,2233500
2003,HI,0.010160172125268947,8500,836600
2003,ID,0.0026745495495495496,1900,710400
2003,IL,0.09892367339853017,341900,3456200
2003,IN,0.05698846860899114,102300,1795100
2003,IA,0.009427261574223543,14600,1548700
2003,KS,0.024719101123595506,29700,1201500
2003,KY,0.043201358666808194,81400,1884200
2003,LA,0.22870069457720002,358900,1569300
2003,ME,0.0038353739489600234,2600,677900
2003,MD,0.19622960045019697,348700,1777000
2003,MA,0.039192715267053625,73600,1877900
2003,MI,0.094132110579479,283300,3009600
2003,MN,0.02472972098142034,38200,1544700
2003,MS,0.2961937270560958,459900,1552700
2003,MO,0.07766164316966456,127800,1645600
2003,MT,0.0018913807079167792,1400,740200
2003,NE,0.02084197428452924,20100,964400
2003,NV,0.05246488570641696,38100,726200
2003,NH,0.005847953216374269,4600,786600
